X.RPMI	X.Sera	X.Contrib.RPMI	X.Contrib.Sera	X.Contrib	X.GroupContrib	X.color	X.importance
EW030_RS10890	-0.747982778702127	0.906385077498516	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0318050164963417
EW030_RS05005	-0.98445789852448	0.862680793726739	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0317935904552784
EW030_RS06030	0.931440555343133	-0.867131509880076	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0317730818453727
EW030_RS12100	0.896990493233603	-0.986963588892995	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0317674751258374
EW030_RS12275	0.945324983996651	-1.04790193539729	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0317579975958164
EW030_RS07180	1.07495300251669	-0.992068142891615	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0317366817057642
EW030_RS08850	0.830695569842804	-0.994360478825117	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0317238446087744
EW030_RS10590	1.04048183870731	-0.999384606259569	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0316716216746243
EW030_RS08745	0.848404410194067	-0.909105467385229	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0316353459568274
EW030_RS03480	0.897787654565482	-0.671293079560312	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0316346455978121
EW030_RS07765	-0.791896824787696	0.71206663591679	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0316216759441387
EW030_RS05560	-0.90166490352981	0.807818172912212	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0316124636944175
EW030_RS00880	-0.736151523370475	0.766129186883676	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0315882030118003
EW030_RS10860	0.948726852014009	-0.965704019584011	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0315541038864155
EW030_RS10650	0.772427478569392	-1.02731329352437	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0315267319686918
EW030_RS08740	0.818608787997116	-0.90503265734589	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0315198656606571
EW030_RS13750	0.852579084856216	-0.743694817058116	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0314475566451602
EW030_RS11015	-0.899876602323499	0.712251779115553	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0313795742539307
EW030_RS08380	-0.714178767659164	0.752821942764636	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0313709429484091
EW030_RS07650	-1.0525876078864	0.741036727003651	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0313608040108116
EW030_RS04340	0.871152569487841	-0.980617002203308	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0313545129296139
EW030_RS08875	-0.726220835148514	0.896275800961525	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0313509789188688
EW030_RS03490	0.88371866247679	-0.701461789742472	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0313432740663629
EW030_RS08430	-1.11093738526711	0.913512774864022	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0313356284987884
EW030_RS05340	0.865990761216215	-0.958579217458324	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0313276572576007
EW030_RS10775	0.873029228527739	-0.650995323985782	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0312698143500258
EW030_RS08400	0.860545472907539	-0.808622123507217	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0312685998183586
EW030_RS03175	-0.652048519605707	0.756630925732928	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0312489434317317
EW030_RS06000	-0.896545758626068	0.936771928659077	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0311910989094405
EW030_RS11185	-0.874904976615912	0.953692972667821	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0311892384586702
EW030_RS12370	0.831874494446693	-0.633672618693883	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0311574797542625
EW030_RS04400	0.931437020225552	-0.820960543764569	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0311038743579811
EW030_RS08910	-0.793298257306306	1.03630916772931	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0310923196986463
EW030_RS12675	1.01499729568753	-0.989883071160306	FALSE	TRUE	FALSE	Sera	#F68B33	-0.031053606382355
EW030_RS01485	-0.827996225511468	0.880429288991831	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0310485271450884
EW030_RS09775	-0.845572359108635	0.760296908965805	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0310456586966844
EW030_RS05070	-0.854826543129867	0.825419467541255	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0310131500766236
EW030_RS06885	-0.80266668189358	0.65908450767389	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0310033896560439
EW030_RS03360	0.878357677079304	-0.947169978093009	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0309725880241227
EW030_RS04810	0.873788374594075	-0.827669165300244	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0309713440260709
EW030_RS10185	0.894241718174426	-0.925660225165967	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0309495742627746
EW030_RS01395	-0.751788093154497	0.934117196288143	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0309315002287688
EW030_RS10755	-0.703647482758058	0.761620245457504	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0309140356383481
EW030_RS04860	0.870579303292253	-0.886852905662405	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0309035638376444
EW030_RS03485	0.887741749099904	-0.672030609160188	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0308751538384553
EW030_RS01480	-0.958016813380876	0.794488375883427	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0308721462761065
EW030_RS10845	0.796909201128392	-0.839145782885206	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0308692822692813
EW030_RS08090	0.910951708080421	-0.731045102897788	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0308590393780524
EW030_RS05065	-0.889787570259079	0.951130846654813	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0308574703387749
EW030_RS05720	0.727695939483292	-0.670048220585937	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0308101307920232
EW030_RS09860	0.777643673164905	-1.01899588832405	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0308010538068559
EW030_RS13495	0.7830937654218	-1.03159235407799	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0307977181791419
EW030_RS02870	0.861132017545433	-0.737180109189332	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0307973752577757
EW030_RS05900	0.928778317797797	-0.937375482672786	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0307887827768847
EW030_RS02510	-0.888259102193795	0.89392861913651	TRUE	FALSE	FALSE	RPMI	#388ECC	0.0307754960688013
EW030_RS03130	0.938790711314681	-0.782481896504192	FALSE	TRUE	FALSE	Sera	#F68B33	-0.0307686644653841
